loaded manhattan3500_Olson.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 74	 chi2= 367.782603	 time= 0.016133	 cumTime= 1.0812	 edges= 5598	 schur= 0	 lambda= 1.071845	 levenbergIter= 2
iteration= 75	 chi2= 367.685489	 time= 0.00901132	 cumTime= 1.09021	 edges= 5598	 schur= 0	 lambda= 0.714563	 levenbergIter= 1
iteration= 76	 chi2= 367.564858	 time= 0.0174072	 cumTime= 1.10762	 edges= 5598	 schur= 0	 lambda= 0.952751	 levenbergIter= 2
iteration= 77	 chi2= 367.531892	 time= 0.0101613	 cumTime= 1.11778	 edges= 5598	 schur= 0	 lambda= 0.635168	 levenbergIter= 1
iteration= 78	 chi2= 367.462812	 time= 0.0203963	 cumTime= 1.13818	 edges= 5598	 schur= 0	 lambda= 0.846890	 levenbergIter= 2
iteration= 79	 chi2= 367.258595	 time= 0.0195105	 cumTime= 1.15769	 edges= 5598	 schur= 0	 lambda= 1.129187	 levenbergIter= 2
iteration= 80	 chi2= 367.219621	 time= 0.0110103	 cumTime= 1.1687	 edges= 5598	 schur= 0	 lambda= 0.752791	 levenbergIter= 1
iteration= 81	 chi2= 367.075245	 time= 0.0166382	 cumTime= 1.18534	 edges= 5598	 schur= 0	 lambda= 1.003722	 levenbergIter= 2
iteration= 82	 chi2= 366.862451	 time= 0.0163372	 cumTime= 1.20167	 edges= 5598	 schur= 0	 lambda= 1.338295	 levenbergIter= 2
iteration= 83	 chi2= 366.755904	 time= 0.010684	 cumTime= 1.21236	 edges= 5598	 schur= 0	 lambda= 0.892197	 levenbergIter= 1
iteration= 84	 chi2= 366.716781	 time= 0.00927811	 cumTime= 1.22163	 edges= 5598	 schur= 0	 lambda= 0.594798	 levenbergIter= 1
iteration= 85	 chi2= 366.690797	 time= 0.0179647	 cumTime= 1.2396	 edges= 5598	 schur= 0	 lambda= 0.793064	 levenbergIter= 2
iteration= 86	 chi2= 366.519448	 time= 0.0170725	 cumTime= 1.25667	 edges= 5598	 schur= 0	 lambda= 1.057419	 levenbergIter= 2
iteration= 87	 chi2= 366.295725	 time= 0.0173104	 cumTime= 1.27398	 edges= 5598	 schur= 0	 lambda= 1.409891	 levenbergIter= 2
iteration= 88	 chi2= 366.189065	 time= 0.0104457	 cumTime= 1.28443	 edges= 5598	 schur= 0	 lambda= 0.939928	 levenbergIter= 1
